variable,lag,pearson
lambda_max,-28,-0.17896795455788228
lambda_max,-27,-0.1845009929032004
lambda_max,-26,-0.18980213157764889
lambda_max,-25,-0.19470850514384203
lambda_max,-24,-0.19911252305422597
lambda_max,-23,-0.2029327262357186
lambda_max,-22,-0.20617059999397427
lambda_max,-21,-0.2088211458579034
lambda_max,-20,-0.21092991720793558
lambda_max,-19,-0.21259948407695267
lambda_max,-18,-0.21384965637399003
lambda_max,-17,-0.21467760721213686
lambda_max,-16,-0.21543389818675016
lambda_max,-15,-0.21623377610380728
lambda_max,-14,-0.21711757825392988
lambda_max,-13,-0.21794751310183905
lambda_max,-12,-0.21890697702165032
lambda_max,-11,-0.2201973677726117
lambda_max,-10,-0.2218365301257407
lambda_max,-9,-0.22336652678924185
lambda_max,-8,-0.2248408282240657
lambda_max,-7,-0.2261446949079855
lambda_max,-6,-0.22727914451390738
lambda_max,-5,-0.22804280683800263
lambda_max,-4,-0.22857953395205313
lambda_max,-3,-0.2288859521531126
lambda_max,-2,-0.22901832745885908
lambda_max,-1,-0.22892312052848027
lambda_max,0,-0.22881339610104767
lambda_max,1,-0.22883726831591822
lambda_max,2,-0.22910901000328743
lambda_max,3,-0.2295611786035543
lambda_max,4,-0.23016761816346387
lambda_max,5,-0.23091682339339248
lambda_max,6,-0.2317418008691141
lambda_max,7,-0.23250406349962627
lambda_max,8,-0.23303600166919228
lambda_max,9,-0.2332190699329922
lambda_max,10,-0.23309528827234513
lambda_max,11,-0.23259507763532916
lambda_max,12,-0.231717715475364
lambda_max,13,-0.2304554901414897
lambda_max,14,-0.22879845601697535
lambda_max,15,-0.22678298338069736
lambda_max,16,-0.2244062036183779
lambda_max,17,-0.22171414877759002
lambda_max,18,-0.21880667634314147
lambda_max,19,-0.21585949581443883
lambda_max,20,-0.21317191857934176
lambda_max,21,-0.210966323176195
lambda_max,22,-0.20944127065316503
lambda_max,23,-0.20863319885811143
lambda_max,24,-0.20858574143504593
lambda_max,25,-0.20941629831512357
lambda_max,26,-0.21113316305375213
lambda_max,27,-0.21374531822897577
lambda_max,28,-0.21718553804382446
lambda_max,29,-0.2214235470593017
lambda_max,30,-0.22640575067013843
lambda_max,31,-0.23191756846429273
lambda_max,32,-0.23768083704815024
lambda_max,33,-0.24344665509224736
lambda_max,34,-0.24904423975446502
lambda_max,35,-0.2543537283530219
lambda_max,36,-0.25926381302078033
lambda_max,37,-0.26370255495098854
lambda_max,38,-0.26762200352678955
lambda_max,39,-0.2708531356372362
lambda_max,40,-0.2732969467042957
lambda_max,41,-0.274859699356743
lambda_max,42,-0.2754602930409935
lambda_max,43,-0.27514883638222787
lambda_max,44,-0.2740068976865286
lambda_max,45,-0.27212385241278514
lambda_max,46,-0.26957393017222203
lambda_max,47,-0.2664241483820252
lambda_max,48,-0.26283202318576915
lambda_max,49,-0.25893824584395586
lambda_max,50,-0.2548671723763232
lambda_max,51,-0.25079226574394203
lambda_max,52,-0.24690666477389037
lambda_max,53,-0.24330593408972817
lambda_max,54,-0.24005353607718605
lambda_max,55,-0.23711848498670476
lambda_max,56,-0.23448624776222696
lambda_max,57,-0.23211584418051137
lambda_max,58,-0.22998990916654302
lambda_max,59,-0.2281070957430149
lambda_max,60,-0.22639383926568785
lambda_max,61,-0.22474361228910247
lambda_max,62,-0.22311073813269813
lambda_max,63,-0.22143970428689663
lambda_max,64,-0.21957135881658216
lambda_max,65,-0.2173579927703726
lambda_max,66,-0.21471890964864584
lambda_max,67,-0.21157537673553495
lambda_max,68,-0.20784991097344113
lambda_max,69,-0.20361612275919513
lambda_max,70,-0.1990631081663203
lambda_max,71,-0.1943354522998727
lambda_max,72,-0.18955072562689684
lambda_max,73,-0.18487432969521372
lambda_max,74,-0.18053077941347032
lambda_max,75,-0.176713376381457
lambda_max,76,-0.17360272481506928
lambda_max,77,-0.17139692336552934
lambda_max,78,-0.17008593820187015
lambda_max,79,-0.16961895386455622
lambda_max,80,-0.1699190090783582
lambda_max,81,-0.17078040612174603
lambda_max,82,-0.17192925554103705
lambda_max,83,-0.17312581699807042
lambda_max,84,-0.17419075163110778
lambda_max,85,-0.17503421759724658
lambda_max,86,-0.17554179418124727
lambda_max,87,-0.17572241173822695
lambda_max,88,-0.17567984320381042
lambda_max,89,-0.17557373620135786
lambda_max,90,-0.17551398178052605
lambda_min,-90,-0.00236546473546756
lambda_min,-89,-0.008665874994805636
lambda_min,-88,-0.017844858666348808
lambda_min,-87,-0.013412994728498417
lambda_min,-86,-0.01987733657563744
lambda_min,-85,-0.013985423325818879
lambda_min,-84,-0.021310265417841597
lambda_min,-83,-0.01775054744139895
lambda_min,-82,-0.0122936228227081
lambda_min,-81,-0.004655950226301977
lambda_min,-80,-0.00521898056592761
lambda_min,-79,0.0015653918131773234
lambda_min,-78,0.0028976116293937346
lambda_min,-77,0.0020544202240705372
lambda_min,-76,-0.0024805972611913934
lambda_min,-75,0.0012800620395097748
lambda_min,-74,0.007644376364204676
lambda_min,-73,0.008292829934504503
lambda_min,-72,0.012999917800550253
lambda_min,-71,0.014122936263402937
lambda_min,-70,0.012543527123624113
lambda_min,-69,0.01652725521208915
lambda_min,-68,0.015415152629661236
lambda_min,-67,0.01530322943753557
lambda_min,-66,0.016900635024109868
lambda_min,-65,0.01634919954168053
lambda_min,-64,0.012511031437051547
lambda_min,-63,0.0030226705029593025
lambda_min,-62,0.005070273959778611
lambda_min,-61,0.009365935828188413
lambda_min,-60,0.009921983679821795
lambda_min,-59,0.007605850443467953
lambda_min,-58,0.007580133725343915
lambda_min,-57,0.006068910066912224
lambda_min,-56,0.0024571486852349206
lambda_min,-55,-0.004268850435022245
